Permutation,Subject,SegDur,Accuracy
1,1,0.5,0.020144351604668
2,1,0.5,0.0171930754509822
3,1,0.5,0.0170079473566587
4,1,0.5,0.021060520868917
5,1,0.5,0.0209783036205323
6,1,0.5,0.0219419235418797
7,1,0.5,0.0187457913184555
8,1,0.5,0.0206433842805269
9,1,0.5,0.0159465165457815
10,1,0.5,0.0135257772370883
1,1,1,0.0225338838109641
2,1,1,0.0258499866551664
3,1,1,0.0287060842440682
4,1,1,0.0317669197656261
5,1,1,0.0282529971807863
6,1,1,0.0242257122470054
7,1,1,0.0253779867643667
8,1,1,0.0261056976939299
9,1,1,0.0234358410419007
10,1,1,0.0283044783068692
1,1,2,0.0291762552710236
2,1,2,0.0322208753511771
3,1,2,0.0312682779902004
4,1,2,0.0305066799235216
5,1,2,0.0285966519059701
6,1,2,0.0243355357461711
7,1,2,0.0309841360201344
8,1,2,0.0212463939533757
9,1,2,0.0262387218690818
10,1,2,0.0253348455115618
1,1,3,0.0259166942335146
2,1,3,0.0301326077050894
3,1,3,0.0317563448773251
4,1,3,0.0269108933705276
5,1,3,0.0288150544102741
6,1,3,0.0240571230280963
7,1,3,0.0249854919131266
8,1,3,0.0281259178238221
9,1,3,0.0283502233647295
10,1,3,0.0290028511190535
1,1,4,0.0322816277076607
2,1,4,0.0330729557941379
3,1,4,0.0306214638757894
4,1,4,0.0234624711087042
5,1,4,0.0259129362589443
6,1,4,0.0358379090788459
7,1,4,0.0309652676193932
8,1,4,0.0361223440083894
9,1,4,0.0334917662623546
10,1,4,0.0349505225486186
1,1,5,0.0245424368185624
2,1,5,0.034180064912794
3,1,5,0.0263298947929068
4,1,5,0.0323954713824435
5,1,5,0.0353731398694573
6,1,5,0.0290200405785259
7,1,5,0.0347955932635325
8,1,5,0.0299364684107422
9,1,5,0.0338308448784477
10,1,5,0.0339678610443112
1,1,10,0.0277863610903174
2,1,10,0.0294933792956801
3,1,10,0.0281077320368351
4,1,10,0.0335277150447766
5,1,10,0.0366471279347138
6,1,10,0.0358865856431788
7,1,10,0.0336909494896477
8,1,10,0.0315666431102158
9,1,10,0.0359854085087358
10,1,10,0.0317108766182792
1,1,20,0.0275796487546826
2,1,20,0.0260448404906347
3,1,20,0.0357336849564804
4,1,20,0.0379264948556022
5,1,20,0.0293243344837327
6,1,20,0.0325167345333634
7,1,20,0.0345452869515325
8,1,20,0.0304611478411517
9,1,20,0.0321859462603793
10,1,20,0.0388758812205174
1,1,30,0.0276375624454186
2,1,30,0.0342988210979673
3,1,30,0.0358435953049112
4,1,30,0.0341101978912478
5,1,30,0.0300980985483687
6,1,30,0.0333172615766346
7,1,30,0.0256583633564431
8,1,30,0.0271234305012529
9,1,30,0.0312823443252169
10,1,30,0.0431892963510314
1,1,40,0.0295593665460133
2,1,40,0.0308411221951715
3,1,40,0.0262456645164607
4,1,40,0.0332455535673448
5,1,40,0.0346133077236294
6,1,40,0.0383701648228057
7,1,40,0.036002901102555
8,1,40,0.0362304107946522
9,1,40,0.0316602512629797
10,1,40,0.0332886856914847
1,1,60,0.0329964527791668
2,1,60,0.0355428349654718
3,1,60,0.0365132907693826
4,1,60,0.035891704967703
5,1,60,0.028061126011433
6,1,60,0.0302180623879783
7,1,60,0.0306906274973746
8,1,60,0.0384650614219981
9,1,60,0.0371365142736188
10,1,60,0.0389502423672097
1,1,80,0.0261487698445682
2,1,80,0.0339950673835474
3,1,80,0.0355642776554857
4,1,80,0.0320991584485588
5,1,80,0.0323353217288464
6,1,80,0.028314005149298
7,1,80,0.0329886925843498
8,1,80,0.0291350137783247
9,1,80,0.0325550396668408
10,1,80,0.0327945094257213
1,1,160,0.0349460784776151
2,1,160,0.0387437824487809
3,1,160,0.0291811457814531
4,1,160,0.0337966258572227
5,1,160,0.0313294286321244
6,1,160,0.0348151581487207
7,1,160,0.0209850100243826
8,1,160,0.0454830156910508
9,1,160,0.029819689121749
10,1,160,0.0317251297991598
1,2,0.5,0.0121634441557299
2,2,0.5,0.00954635712511769
3,2,0.5,0.0245187655513744
4,2,0.5,0.0163523468965327
5,2,0.5,0.0253803508446363
6,2,0.5,0.0116977866806411
7,2,0.5,0.0146654446835112
8,2,0.5,0.0152279304725226
9,2,0.5,0.00786566798072392
10,2,0.5,0.0283315683999806
1,2,1,0.00618287923622985
2,2,1,0.0126091277149521
3,2,1,0.0172829540151086
4,2,1,0.0168471467193044
5,2,1,0.0189382565055795
6,2,1,0.0169377790499168
7,2,1,0.0157739487683591
8,2,1,0.0196114294540917
9,2,1,0.0113229237981859
10,2,1,0.0168269234655815
1,2,2,0.015917394292694
2,2,2,0.0255770929421597
3,2,2,0.0180882764905852
4,2,2,0.01227137397982
5,2,2,0.00389912910815507
6,2,2,0.0111749504869508
7,2,2,0.0158799724926991
8,2,2,0.0162014191845242
9,2,2,0.0252026811958457
10,2,2,0.0147812017346997
1,2,3,0.0120806020965524
2,2,3,0.00914218005148769
3,2,3,0.0125129881318317
4,2,3,0.00894939061583946
5,2,3,0.0147850202883801
6,2,3,0.00844716731270461
7,2,3,0.0156570217407949
8,2,3,0.0108579989314726
9,2,3,0.00920380585027146
10,2,3,0.0177324880354836
1,2,4,0.00875367119593207
2,2,4,0.0190937378913676
3,2,4,0.0132216557497895
4,2,4,0.0168379283024261
5,2,4,0.0216612644125972
6,2,4,0.0124212306821187
7,2,4,0.0158018132550849
8,2,4,0.0142354341787721
9,2,4,0.0207907163501028
10,2,4,0.0215695469075699
1,2,5,0.0212669496432389
2,2,5,0.0165717252892774
3,2,5,0.00976790856259722
4,2,5,0.0133974637493012
5,2,5,0.0108841690164891
6,2,5,0.0138262455567997
7,2,5,0.0136094673189829
8,2,5,0.0166022810119556
9,2,5,0.00836895338538719
10,2,5,0.0143285103117775
1,2,10,0.0182988914849711
2,2,10,0.018086614383395
3,2,10,0.0143466937681866
4,2,10,0.0245303025588209
5,2,10,0.00447294449622682
6,2,10,0.0153318174743563
7,2,10,0.0151933755477288
8,2,10,0.010893545157686
9,2,10,0.0141327924160401
10,2,10,0.0259940006904963
1,2,20,-0.00493385428287659
2,2,20,0.0281103378757873
3,2,20,0.00934910056982591
4,2,20,0.00473520295012391
5,2,20,0.0089301218188261
6,2,20,0.0174967451123721
7,2,20,0.00898938367076256
8,2,20,0.00885117929732355
9,2,20,0.0138693228761846
10,2,20,0.0287114131685594
1,2,30,0.0105679822801841
2,2,30,0.0150880255761485
3,2,30,0.0171548988511066
4,2,30,0.00890220724034826
5,2,30,0.0166237571166668
6,2,30,0.0237768140299621
7,2,30,0.0209602996279511
8,2,30,0.0239623215398027
9,2,30,0.00924390312268517
10,2,30,0.00364168843318419
1,2,40,0.0203743599110347
2,2,40,0.00265650432372918
3,2,40,0.0136380462636997
4,2,40,0.0201902814318225
5,2,40,0.0170490636139315
6,2,40,0.0124884174807912
7,2,40,0.0193698676174863
8,2,40,0.0191485383680222
9,2,40,0.0123266640445246
10,2,40,0.0195175537033948
1,2,60,0.00675765208655689
2,2,60,0.0100344052466139
3,2,60,0.0193586735551595
4,2,60,0.0207953936169892
5,2,60,0.0271692879461071
6,2,60,0.0197684079927316
7,2,60,0.0307414586906434
8,2,60,0.0170307706472489
9,2,60,0.0179002019039942
10,2,60,0.0161666512728377
1,2,80,0.0142857483163882
2,2,80,0.0238884514896176
3,2,80,0.0165470682289167
4,2,80,0.0227394370430952
5,2,80,0.0131309175931193
6,2,80,0.0120522126475694
7,2,80,0.0169977188679921
8,2,80,0.0137306916070311
9,2,80,0.00583903643478424
10,2,80,0.00742992741174652
1,2,160,0.000415119062544164
2,2,160,0.030324142568998
3,2,160,0.0152663323986813
4,2,160,0.0175820286446145
5,2,160,0.016203535668652
6,2,160,0.0203118336533949
7,2,160,0.010567097389814
8,2,160,0.00712806950744084
9,2,160,0.0329061556745604
10,2,160,0.0230704688606314
1,3,0.5,0.0361785671079098
2,3,0.5,0.0470543933497845
3,3,0.5,0.0392052445943804
4,3,0.5,0.0294152495270783
5,3,0.5,0.0298607844586681
6,3,0.5,0.0423114468184236
7,3,0.5,0.0397737488928066
8,3,0.5,0.0288054246998546
9,3,0.5,0.0318000259143846
10,3,0.5,0.0407852249529781
1,3,1,0.0448174766880543
2,3,1,0.0381974211121355
3,3,1,0.040738719891637
4,3,1,0.0301987202587033
5,3,1,0.0405967035977765
6,3,1,0.0358770208626721
7,3,1,0.0366439535193519
8,3,1,0.0413461770976217
9,3,1,0.0409145291244257
10,3,1,0.0361946773840954
1,3,2,0.0493020163205583
2,3,2,0.0412107040892866
3,3,2,0.0425487748652656
4,3,2,0.0540608027718587
5,3,2,0.0374223479422553
6,3,2,0.0423043867076666
7,3,2,0.0427661378218577
8,3,2,0.0429557930601365
9,3,2,0.0355202863364023
10,3,2,0.0421542513832779
1,3,3,0.0384142753883059
2,3,3,0.0484046216877921
3,3,3,0.0462524553636831
4,3,3,0.0504508650797379
5,3,3,0.0446837731643104
6,3,3,0.0309118995610392
7,3,3,0.0467280432627433
8,3,3,0.0455429968899525
9,3,3,0.0485557959919713
10,3,3,0.049906607133179
1,3,4,0.0388253594879743
2,3,4,0.0513442214618105
3,3,4,0.0413545515844877
4,3,4,0.0467415890103685
5,3,4,0.0371124722702929
6,3,4,0.0395546269209025
7,3,4,0.0439805955308775
8,3,4,0.044688733467494
9,3,4,0.0464790746638074
10,3,4,0.0412110280850787
1,3,5,0.0434892529268617
2,3,5,0.040895317854626
3,3,5,0.0400198614444073
4,3,5,0.0493089454936818
5,3,5,0.0530818194936951
6,3,5,0.0374711364732603
7,3,5,0.0458551056136331
8,3,5,0.0476047159242851
9,3,5,0.0468117099724332
10,3,5,0.0476529792449726
1,3,10,0.0446226511370628
2,3,10,0.0436658684779734
3,3,10,0.0440395533158159
4,3,10,0.0407974991751646
5,3,10,0.051100131904528
6,3,10,0.0469335822454844
7,3,10,0.0437543902800425
8,3,10,0.0496095367725563
9,3,10,0.0400275084732463
10,3,10,0.032509471484294
1,3,20,0.0461503466159684
2,3,20,0.0417116265578924
3,3,20,0.0405022628542511
4,3,20,0.0550815208632924
5,3,20,0.0424543637203702
6,3,20,0.0434329664844235
7,3,20,0.0364726608857483
8,3,20,0.049760021176193
9,3,20,0.0479605133703522
10,3,20,0.0438450581418115
1,3,30,0.0439046465395409
2,3,30,0.0348684974855906
3,3,30,0.0501082442010514
4,3,30,0.044064519694944
5,3,30,0.048179678417937
6,3,30,0.0479080143554186
7,3,30,0.0493934699721149
8,3,30,0.0411035216853403
9,3,30,0.0331260267383446
10,3,30,0.0512044153703192
1,3,40,0.0469319875242532
2,3,40,0.0477853047649013
3,3,40,0.0553380237720483
4,3,40,0.0427429868837292
5,3,40,0.0468299900194535
6,3,40,0.0453814023440442
7,3,40,0.0453338458499548
8,3,40,0.0330604560384037
9,3,40,0.0534684026260768
10,3,40,0.0409587961190296
1,3,60,0.0495526856106458
2,3,60,0.0429519452550736
3,3,60,0.0406216941816545
4,3,60,0.0389549643954074
5,3,60,0.0432740159729177
6,3,60,0.0462484057293038
7,3,60,0.0335742433262001
8,3,60,0.0496331597326488
9,3,60,0.048541383518288
10,3,60,0.0565023455401091
1,3,80,0.0536485577346259
2,3,80,0.0342641368230028
3,3,80,0.0400281249877805
4,3,80,0.0445954316094255
5,3,80,0.0607974340273865
6,3,80,0.0459792714392047
7,3,80,0.0501404256063121
8,3,80,0.0416630226412775
9,3,80,0.0501660873731725
10,3,80,0.0395245377313734
1,3,160,0.0551538314897925
2,3,160,0.044611449171297
3,3,160,0.0369635393967684
4,3,160,0.0547626756996723
5,3,160,0.0416414498714875
6,3,160,0.0457658686801863
7,3,160,0.0500402749342577
8,3,160,0.0390894676605165
9,3,160,0.039989475425815
10,3,160,0.0464153993664658
1,4,0.5,0.0148651799986396
2,4,0.5,0.0180964820665012
3,4,0.5,0.0204742479766183
4,4,0.5,0.0189858311139953
5,4,0.5,0.0245266619907347
6,4,0.5,0.0282281851940432
7,4,0.5,0.0170834956394785
8,4,0.5,0.0146022114725391
9,4,0.5,0.0275306970498243
10,4,0.5,0.0199680847073886
1,4,1,0.0254030153113694
2,4,1,0.0177416883024623
3,4,1,0.018616720725924
4,4,1,0.0250354458630583
5,4,1,0.017510714113785
6,4,1,0.0122190989060613
7,4,1,0.0130700117917359
8,4,1,0.0189164360273248
9,4,1,0.0138370048224342
10,4,1,0.0134517142075576
1,4,2,0.0178507726975096
