Permutation,Subject,SegDur,Accuracy
49,1,5,0.00575544208248693
50,1,5,0.00438650450024645
51,1,5,0.00469971030253729
52,1,5,0.0117048145719209
53,1,5,0.00422812333967657
54,1,5,0.00921988849587337
55,1,5,0.00863386154683438
56,1,5,0.00135171412483421
57,1,5,0.00536172770698792
58,1,5,-0.000876330146541736
59,1,5,0.00296657490471604
60,1,5,0.0118940566684038
61,1,5,0.00980972932321089
62,1,5,-0.000985697595237217
63,1,5,0.0105088776835951
64,1,5,0.0120815058175732
65,1,5,0.00508898058873285
66,1,5,0.000726497127947373
67,1,5,0.00793448734795841
68,1,5,-0.00130600100788643
69,1,5,0.0060632842759015
70,1,5,0.00230187548086134
71,1,5,0.00182212918805923
72,1,5,0.0107329741719846
73,1,5,0.00651764542963007
74,1,5,0.00110111665118581
75,1,5,0.00982937848444117
76,1,5,0.00808101815603531
77,1,5,0.0109659305740509
78,1,5,0.00526687177874915
79,1,5,0.00251160921818333
80,1,5,0.0061631006798409
81,1,5,0.00428009946318162
82,1,5,0.00888650047610501
83,1,5,0.00400268615829239
84,1,5,0.00474585483912038
85,1,5,0.00754215944994792
86,1,5,0.00332811726099534
87,1,5,0.00661116228876223
88,1,5,0.0064158275236533
89,1,5,-0.00103803131458555
90,1,5,0.00880078282375426
91,1,5,0.00322646716710427
92,1,5,0.00728733813387097
93,1,5,0.00303198931225868
94,1,5,0.00672696035697748
95,1,5,0.00249420835271682
96,1,5,0.00845254392242004
97,1,5,0.00778486949518521
98,1,5,-0.000293095407551513
99,1,5,0.0048118629830478
100,1,5,0.00749369042139167
1,1,10,0.00130403412102498
2,1,10,0.00418507358440998
3,1,10,0.000142605387801477
4,1,10,0.00719333388335047
5,1,10,0.00426004279924449
6,1,10,0.00681276542490673
7,1,10,0.0081756007169969
8,1,10,0.00814122854403464
9,1,10,0.00581345108019179
10,1,10,0.00425248851961365
11,1,10,0.0105504315689433
12,1,10,0.0020545716541376
13,1,10,0.00730850523504734
14,1,10,0.00872330613850817
15,1,10,0.00498836762087479
16,1,10,0.0024592777677718
17,1,10,0.00224373625725753
18,1,10,0.00744321351144001
19,1,10,0.00452732620084362
20,1,10,0.00762159373076289
21,1,10,0.00475793611971524
22,1,10,0.00398509380789401
23,1,10,0.00814378978228985
24,1,10,0.00455215599505412
25,1,10,0.00709644368567259
26,1,10,0.00369006118108196
27,1,10,0.00584523271290945
28,1,10,0.0110722855263955
29,1,10,0.0019537911168922
30,1,10,0.00466998998160979
31,1,10,0.00352355306028053
32,1,10,0.0072332718602724
33,1,10,0.00547963063148415
34,1,10,0.00744674335640548
35,1,10,0.00554352508391869
36,1,10,0.00855234621383453
37,1,10,-0.00112079903172074
38,1,10,0.010747404102255
39,1,10,0.00975686809717829
40,1,10,0.00490370784235033
41,1,10,0.0076585830885967
42,1,10,0.0127809012908961
43,1,10,0.00691383838928285
44,1,10,0.00903270775783374
45,1,10,0.00517219581576731
46,1,10,0.00579833254710898
47,1,10,0.00545353465575498
48,1,10,0.00111373984907756
49,1,10,0.00617342926917737
50,1,10,0.00559009343558135
51,1,10,0.00522961054668268
52,1,10,0.00589990985405463
53,1,10,0.00754347959302912
54,1,10,0.00601416526918361
55,1,10,0.00311180998959992
56,1,10,0.0103239176096877
57,1,10,0.00753701742610567
58,1,10,0.00401504975000917
59,1,10,0.00430436891221397
60,1,10,0.00939408176072217
61,1,10,0.00470990842476115
62,1,10,0.00514075170675322
63,1,10,0.00880531699642566
64,1,10,0.00420071151404298
65,1,10,0.00931792867637259
66,1,10,-0.000790360307775244
67,1,10,0.00697259586608909
68,1,10,0.00634043252939035
69,1,10,0.00335406865109305
70,1,10,0.00486589244816405
71,1,10,0.00725060404018814
72,1,10,0.0128045634923713
73,1,10,0.00572191976035333
74,1,10,0.00615272528774694
75,1,10,0.00197763833986518
76,1,10,0.0030362508065203
77,1,10,0.014732063962381
78,1,10,0.0083216804250148
79,1,10,0.00470677921918768
80,1,10,0.00397575212138451
81,1,10,0.00641719241329821
82,1,10,0.00750817117978893
83,1,10,0.0136255673079461
84,1,10,0.00796360134014054
85,1,10,0.0074654670025214
86,1,10,0.00193951845045411
87,1,10,0.00688024258758417
88,1,10,0.0137140666618799
89,1,10,0.00807545959176115
90,1,10,0.0107734679864139
91,1,10,0.000600487044256691
92,1,10,0.00712721503892806
93,1,10,0.0121683904414052
94,1,10,0.00752108130467488
95,1,10,0.0094840723934488
96,1,10,0.00461290737994685
97,1,10,0.00985900088228895
98,1,10,0.00614644935858774
99,1,10,0.000710699560121798
100,1,10,0.00715193231666438
1,1,20,0.00197835899758621
2,1,20,0.000914106343516062
3,1,20,-6.55171823598368e-05
4,1,20,0.00760337184321997
5,1,20,0.00726337896478409
6,1,20,0.00755993021788832
7,1,20,0.00529952743634985
8,1,20,0.00800352832923682
9,1,20,0.00728886672924695
10,1,20,0.011305921926446
11,1,20,0.00812374733397211
12,1,20,0.0109044149819454
13,1,20,0.00734082398542124
14,1,20,0.00551023034484229
15,1,20,0.0033253332545392
16,1,20,0.00599786147050651
17,1,20,0.00069132459982804
18,1,20,0.00531297591065435
19,1,20,0.00597898668999362
20,1,20,0.00510468327209624
21,1,20,0.00334109845679104
22,1,20,0.00973615334072091
23,1,20,0.00555080800735502
24,1,20,0.00629187354300165
25,1,20,0.00714514340048507
26,1,20,0.00489521429993672
27,1,20,0.0113167380587285
28,1,20,0.00784501546397978
29,1,20,0.0133339080138492
30,1,20,0.00815278161827098
31,1,20,0.00720396294688694
32,1,20,0.0139304954376255
33,1,20,0.00608668362515311
34,1,20,0.00927881591210268
35,1,20,0.00558808729090939
36,1,20,0.00628433968720222
37,1,20,0.00911085383667589
38,1,20,0.00757621299926488
39,1,20,0.00638069466424812
40,1,20,0.00676515984023325
41,1,20,0.00826169360992769
42,1,20,0.0021123877215358
43,1,20,0.00450836498595365
44,1,20,0.0117330457632221
45,1,20,0.00871803657747069
46,1,20,0.0101405202765177
47,1,20,0.00727522212619876
48,1,20,0.00445463676738498
49,1,20,0.00823671838098376
50,1,20,0.00800686791130008
51,1,20,0.00574027805962465
52,1,20,0.00839512006902999
53,1,20,0.0043625239814366
54,1,20,0.00122839774685988
55,1,20,0.00881395338561447
56,1,20,0.00861044014787166
57,1,20,0.00688661568167604
58,1,20,0.00829381224840814
59,1,20,0.0117003116404831
60,1,20,0.00845688819208905
61,1,20,0.00875552330770221
62,1,20,0.00322884335698063
63,1,20,0.00716832017304535
64,1,20,0.00670094734784912
65,1,20,0.00615717404954827
66,1,20,0.0111738300721007
67,1,20,0.00562156960983984
68,1,20,0.0112537245115185
69,1,20,0.00633629980020668
70,1,20,0.0150172219243062
71,1,20,0.00969774840503542
72,1,20,0.00401295422497361
73,1,20,0.00646673574628048
74,1,20,0.00710892888713892
75,1,20,0.00620748045286142
76,1,20,0.00127484378604642
77,1,20,0.00702984332749931
78,1,20,0.00604206572423841
79,1,20,0.0119267513786941
80,1,20,0.00430601102061345
81,1,20,0.00465663854944109
82,1,20,0.00527794654327811
83,1,20,0.0123085287960552
84,1,20,0.00762714558923298
85,1,20,0.00801541354125435
86,1,20,0.00608664376959019
87,1,20,0.00636435562599845
88,1,20,0.00827154680224159
89,1,20,0.0082649221553527
90,1,20,0.00512457295195063
91,1,20,0.000330955766549179
92,1,20,0.00853323232775036
93,1,20,0.00309279330255563
94,1,20,0.0046633293528471
95,1,20,-0.000993231227204946
96,1,20,0.00753731405689984
97,1,20,0.00492066531426594
98,1,20,0.00485380464414742
99,1,20,0.00365114657013591
100,1,20,0.00655512610786702
1,1,30,0.00804417113618174
2,1,30,0.00862839643864732
3,1,30,0.00284164308718648
4,1,30,0.00181272253575136
5,1,30,0.0104832719369018
6,1,30,0.0050674957121636
7,1,30,0.00771406548506209
8,1,30,0.0114405695019479
9,1,30,0.00363006146175283
10,1,30,0.00847483014147544
11,1,30,0.00688731962697853
12,1,30,0.00500192643324209
13,1,30,0.00291162137028007
14,1,30,0.0112007563778404
15,1,30,0.00562187731393063
